round,loss,accuracy,ignored_total,ignored_attackers,ignored_benign
1,4.281376223638654,0.68761,4,1,3
2,4.466042534261942,0.6910000000000001,4,1,3
3,4.856611382588744,0.6920999999999999,4,1,3
4,5.38147257566452,0.69246,4,1,3
5,5.882896758243442,0.6924300000000001,4,1,3
6,6.279151820391417,0.69378,4,1,3
7,6.564158774726093,0.69375,4,1,3
8,7.020487684756517,0.6935,4,1,3
9,7.414509768784046,0.6940700000000001,4,1,3
10,7.6161651877686385,0.69379,4,1,3
11,8.184727079048752,0.69435,4,1,3
12,8.7553645176813,0.69401,4,1,3
13,9.05284938402474,0.69431,4,1,3
14,9.374206711165607,0.6944700000000001,4,1,3
15,9.625871420279145,0.6944600000000001,4,1,3
16,10.411299655213952,0.69449,4,1,3
17,10.647578828595579,0.69461,4,1,3
18,10.941461997665465,0.69501,4,1,3
19,11.271809526346624,0.69478,4,1,3
20,11.530589924566447,0.69506,4,1,3
21,11.770044906064868,0.69487,4,2,2
22,12.037171076983213,0.69493,4,2,2
23,12.190046421997248,0.6949400000000001,4,2,2
24,12.37010235786438,0.6949400000000001,4,2,2
25,12.497351585328579,0.6949400000000001,4,2,2
26,12.631055411696433,0.69494,4,2,2
27,12.736261095479131,0.6949299999999999,4,2,2
28,12.860353169217706,0.6949799999999999,4,2,2
29,12.961616463959217,0.69494,4,2,2
30,13.063014312461018,0.69499,4,2,2
